"","auctions","floorPrice","wins","revenue","fill","eCpm"
"1",26,0.02,12,8.94,0.461538461538462,0.745
"2",26,0.07,11,8.92,0.423076923076923,0.810909090909091
"3",26,0.12,11,8.98,0.423076923076923,0.816363636363636
"4",26,0.18,11,9.12,0.423076923076923,0.829090909090909
"5",26,0.32,11,9.68,0.423076923076923,0.88
"6",26,0.38,10,9.54,0.384615384615385,0.954
"7",26,0.44,10,9.78,0.384615384615385,0.978
"8",26,0.58,9,9.76,0.346153846153846,1.08444444444444
"9",26,0.6,9,9.84,0.346153846153846,1.09333333333333
"10",26,0.74,8,9.65,0.307692307692308,1.20625
"11",26,0.89,7,9.21,0.269230769230769,1.31571428571429
"12",26,0.96,7,9.43,0.269230769230769,1.34714285714286
"13",26,1,7,9.6,0.269230769230769,1.37142857142857
"14",26,1.04,7,9.8,0.269230769230769,1.4
"15",26,1.33,6,9.91,0.230769230769231,1.65166666666667
"16",26,1.46,5,8.96,0.192307692307692,1.792
"17",26,2.15,4,8.88,0.153846153846154,2.22
"18",26,2.4,4,9.64,0.153846153846154,2.41
"19",26,2.81,2,5.64,0.0769230769230769,2.82
"20",26,3.8,1,3.81,0.0384615384615385,3.81
