0.02,1.55,200
0,2.75,0
0,1.75,0|0
0,1.55,0
0,2.75,0
0,2.75,0
0,2.75,0
0,1.75,204|204
0,1.75,0|0
2.4;1.76;1.12;0.89;0.02,1.75,200
0,1.95,0
2.8;0.84;0.74;0.27;0.13,2.75,200
0,1.55,0
0,1.95,0
0,2.75,0
0,2.75,0
0,1.55,0
0.09;0.05,2.75,200
0,1.75,0|0
0.04,1.55,200
0,2.15,0|0
1.86;1.2;0.28;0.16;0.11,1.95,200|200
0,1.95,0
0,2.45,0
0,2.75,0
0.06;0.04,1.55,200
0,1.55,0
0.42;0.1;0.06;0.05,1.75,200|200
0,2.45,0
0,1.55,0
1.23;0.25;0.24;0.08;0.06,2.45,200
0,1.55,0
0,1.95,0|0
0,1.75,0|0
0,2.15,0|0
0,1.55,204
0,2.75,0
0.16,2.15,200|200
9.21;0.55;0.38;0.07,1.95,200
0,1.55,0
0.02,2.75,200
0.03;0.01,2.75,200
0,1.75,0|0
0,1.95,0|0
0,1.55,0
0,1.55,0
1.36;0.55;0.36;0.3;0.23,1.95,200
0,1.75,204|204
0,1.75,0|0
0,2.75,0
0,1.95,0|0
0,2.15,0|0
1.9;0.08,2.45,200
0,1.55,0
0,2.45,0
0,1.95,0|0
0,2.75,0
0,1.95,204
0,1.95,0|0
0,1.95,0|0
0,1.55,0
0.99;0.45;0.26;0.14;0.1,2.75,200
0,2.75,0
0,1.55,0
0,2.15,0|0
0.67;0.22;0.2;0.18;0.16,2.45,200
0,1.95,0|0
0,2.75,0
1.36;0.26;0.01,1.95,200
0.15,1.95,200|200
0.02,2.75,200
0,2.75,0
1.2;0.8;0.1;0.08;0.05,1.95,200|200
0.12;0.07,2.75,200
0,2.15,0|0
0,1.75,0|0
0,2.15,204|204
0,1.55,0
0,2.15,0|0
0,2.15,0|0
1.36;0.59;0.45;0.44;0.2,1.95,200|200
0,1.95,0|0
0,1.95,0
1.23;1;0.93;0.67,2.45,200
1.21;0.1,1.55,200
0,1.95,0|0
0,1.75,0|0
0.1;0.02,1.95,200|200
0,1.95,0|0
1.71;0.66;0.55;0.26;0.23,2.45,200
0,1.95,0|0
2.19;0.48;0.2;0.13,2.15,200
0,1.55,0
0,1.55,0
2;1.16;0.37;0.19;0.16,1.55,200
0,1.95,0|0
0.01,2.15,200|200
0,1.75,0|0
1.86;0.01,1.75,200
0,1.95,0|0
0.2;0.04,2.15,200|200
0.2;0.07,2.75,200
0.03,1.95,200
0,1.95,0
2;0.02,1.55,200
0,1.55,0
0,1.75,0|0
0.68;0.12;0.12,1.75,200|200
0.16;0.07;0.02,2.45,200
0.04,1.95,200
0,2.75,0
0,1.55,0
0,2.15,0|0
0,1.75,0|0
0,1.75,0|0
1.51;0.12;0.11;0.06,2.45,200
0,1.95,0
0,1.55,0
0,2.15,0|0
0,2.75,0
0,1.95,0|0
0,1.75,0|0
0,2.75,0
0.33;0.12;0.02,1.95,200
0.2;0.09,2.75,200
0.76;0.4;0.19;0.05,1.95,200
0.68;0.07,1.95,200|200
0,1.55,0
0,2.75,0
0,1.55,0
3.98;1.49;1.03;0.88;0.48,2.45,200
0.55;0.54;0.23;0.2;0.16,2.45,200
0.27;0.07;0.06,2.75,200
0,2.45,0
0,1.55,204
0,2.75,0
0,1.75,0|0
0,1.75,0|0
0,2.45,0
0,1.55,0
0,1.95,0|0
0,1.95,0|0
0,2.75,0
0,1.55,204
0,2.75,0
0,1.75,0|0
0,1.75,0|0
0,1.95,204
0,1.55,0
0,2.45,0
0,2.15,0|0
0,1.95,0
0,2.45,0
0,1.95,0|0
0,1.55,0
0,1.55,0
0.44;0.32;0.01,1.75,200|200
0.67;0.55;0.19;0.07;0.04,2.75,200
1.6;0.04,1.75,200|200
0,1.55,204
1.86;0.03,1.95,200|200
0,1.55,0
0,2.45,0
0.04,2.15,200|200
0,2.75,204
0,1.95,0
0,2.75,0
0.26;0.2,2.75,200
0,1.55,0
0,1.75,0|0
0.26;0.08,2.15,200|200
0,2.45,0
